货号,商品编号,数量/件,商品名称,北京,上海,广州,沈阳,武汉,成都,西安,德州,厦门,郑州,备注,总和
,100226220956,,巴美卡霸王龙超大号实心恐龙收藏模型玩具仿真世界侏罗纪动物礼物,12,,,,,,,6,,,,18
,100225107976,,巴美卡霸王龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物男孩节日礼物,,,,,,,,,,,,0
,100225966458,,巴美卡大号实心动物世界硬软胶仿真模型摆件小孩儿童礼物玩具 农场套装3,,,,,,,,,,,,0
,100226075954,,巴美卡大号实心动物世界硬软胶仿真模型男孩儿童节日礼物玩具农场套装,,,,,,,,,,,,0
,100226075926,,巴美卡大号实心动物世界硬软胶仿真模型男孩节日礼物玩具动物套装3,,,,,,,,,,,,0
,100225966520,,巴美卡大号实心动物世界硬软胶仿真模型男孩节日礼物玩具农场套装2,,,,,,,,,,,,0
,100174496717,,巴美卡大号实心动物世界硬软胶仿真模型男小孩节日礼物玩具 农场套装1,,,,,,,,,,,,0
,100174423855,,巴美卡大号实心海洋动物世界硬软胶仿真模型男孩节日礼物玩具海洋套装1,,,,,,,,,,,,0
,100225966536,,巴美卡大号实心海洋动物世界硬软胶仿真模型男孩节日礼物玩具海洋套装2,,,,,,,,,,,,0
,100225966546,,巴美卡大号实心海洋动物世界硬软胶仿真模型男孩节日礼物玩具海洋套装3,,,,,,,,,,,,0
,100225966430,,巴美卡大号实心恐龙模型套装玩具仿真世界侏罗纪动物礼物 中号套装2,,,,,,,,,,,,0
,100225966470,,巴美卡大号实心恐龙收藏模型套装玩具仿真世界侏罗纪动物 中号套装3,,,,,,,,,,,,0
,100226798342,,巴美卡大号实心恐龙收藏模型套装玩具仿真世界侏罗纪动物礼物 特大套装2,,30,,,12,,,6,,,,48
,100226220964,,巴美卡大号智能恐龙模型玩具仿真世界侏罗纪苍龙+霸王龙+棘背龙+翼龙,,,,,,,,,,,,0
,100174593277,,巴美卡大号智能声动恐龙模型玩具仿真世界侏罗纪动物 霸王龙+三角龙,,,,,,,,,,,,0
,100174496715,,巴美卡大号智能声动恐龙模型玩具仿真世界侏罗纪动物 棘背龙+霸王龙,,,,,,,,,,,,0
,100226220914,,巴美卡大号智能声动恐龙模型玩具仿真世界侏罗纪动物 棘背龙+迅猛龙,,,,,,,,,,,,0
,100226221002,,巴美卡大号智能声动恐龙模型玩具仿真世界侏罗纪动物 南方巨兽龙,,,,,,,,,,,,0
,100225966460,,巴美卡大号智能声动恐龙模型玩具仿真世界侏罗纪动物 迅猛龙盗龙,,,,,,,,,,,,0
,100226220968,,巴美卡大号智能声动恐龙模型玩具仿真世界侏罗纪动物 抓捕套装霸王龙,,,,,,,,,,,,0
,100174593299,,巴美卡大号智能声动恐龙模型玩具仿真世界侏罗纪动物 抓捕套装角鼻龙,,,,,,,,,,,,0
,100225966434,,巴美卡大号智能声动恐龙模型玩具仿真世界侏罗纪动物节日礼物 霸王龙,10,,,,20,10,10,,,,,50
,100225966436,,巴美卡大号智能声动恐龙模型玩具仿真世界侏罗纪动物男孩生日礼物三角龙,,,,,,,,,,,,0
,100174423795,,巴美卡大号智能声动恐龙模型玩具仿真侏罗纪动物霸王龙苍龙三角龙腕龙,,,15,20,,,,12,,,,47
,100174593297,,巴美卡大号智能声动恐龙模型玩具世界侏罗纪腕龙+剑龙+三角龙+角鼻龙,,,,,,,,,,,,0
,100173904703,,巴美卡大套装1大号实心恐龙收藏模型玩具仿真侏罗纪动物男孩节日礼物,,,,,,,,,,,,0
,100173904675,,巴美卡大套装2大号实心恐龙收藏模型玩具仿真侏罗纪动物男孩节日礼物,,12,,,,12,12,,,,,36
,100173904709,,巴美卡大套装3大号实心恐龙收藏模型玩具仿真侏罗纪动物男孩节日礼物,,,,,,,,,,,,0
,100174496737,,巴美卡儿童玩具大号实心动物世界硬软胶仿真模型男孩节日礼物动物套装1,,,,,,,,,,,,0
,100226076336,,巴美卡儿童玩具大号实心动物世界硬软胶仿真模型男孩节日礼物动物套装2,,,,,,,,,,,,0
,100225189454,,巴美卡棘龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物男孩节日礼物,,,,,,,,,,,,0
,100225189472,,巴美卡恐龙套装大号实心收藏模型玩具仿真侏罗纪动物男孩礼物特大套装1,,,,,,,,,,,,0
,100226220982,,巴美卡镰刀龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物礼物,,,,,,,,,,,,0
,100173904961,,巴美卡五角龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物男孩节日礼物,,,,,,,,,,,,0
,100225189494,,巴美卡异特龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物男孩节日礼物,,,,,,,,,,,,0
,100226220916,,巴美卡翼龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物礼物,,,,,,,,,,,,0
,100225966588,,巴美卡中号套装1大号实心恐龙收藏模型玩具仿真侏罗纪动物男孩节日礼物,,,,12,,12,,,,,,24
,100225966566,,巴美卡中号套装4大号实心恐龙收藏模型玩具仿真侏罗纪动物男孩节日礼物,,,,,,,,,,,,0
,100226220958,,巴美卡 腕龙大号实心恐龙收藏模型玩具仿真侏罗纪动物男女小孩生日礼物,10,10,,30,,,,,,,,50
,100174593325,,巴美卡暴虐霸王龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物礼物,,,,,,,,,,,,0
,100226220966,,巴美卡暴虐迅猛龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物礼物,,,,,,,,,,,,0
,100226075948,,巴美卡沧龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物礼物,,12,12,,30,30,12,12,,,,108
,100226220984,,巴美卡大号实心恐龙收藏模型玩具仿真世界侏罗纪动物 暴虐霸王龙,,,,,,,,,,,,0
,100224063726,,巴美卡大号实心恐龙收藏模型玩具仿真世界侏罗纪动物男孩节日礼物迅猛龙,,,,,,,,,,,,0
,100226798318,,巴美卡盗龙 大号实心恐龙收藏模型玩具仿真世界侏罗纪动物礼物,,,,,,,,,,,,0
,100226220986,,巴美卡火龙兽大号实心恐龙收藏模型玩具仿真世界侏罗纪动物礼物,,,,,,,,,,,,0
,100225189492,,巴美卡甲龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物男孩节日礼物,,,,,,,,,,,,0
,100174593289,,巴美卡绿色副栉龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物节日礼物,,,,,,,,,,,,0
,100226220972,,巴美卡魔兽龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物礼物,,,,,,,,,,,,0
,100226220934,,巴美卡行走牛龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物礼物,,,,,,,,,,,,0
,100226221004,,巴美卡棕色蹲姿霸王龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物礼物,,,,,,,,,,,,0
,100225107856,,巴美卡异特龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物男孩节日礼物,,,,,,,,,,,,0
,100221819657,,巴美卡君王龙大号实心恐龙收藏模型玩具仿真世界侏罗纪动物摆件,,,,,,,,,,,,0
,100296026698,,巴美卡遥控智能AI电动霸王龙恐龙可编程男女小孩儿童玩具生日节日礼物,,,,,,,,,,,,0
,100225915683,,十万个为什么【AI版】,,,,,,,,,,,,0
,100225915777,,十万个为什么【AI版】,,,,,,,,,,,,0
,100225915793,,【早教启蒙】20主题撕撕书,,,,,,,,,,,,0
,100225915801,,会说话的有声书【0~9岁 早教故事】,,,,,,,,,,,,0
,100225915807,,【加厚288张】儿童剪纸+1把剪刀,,,,,,,,,,,,0
,100225915817,,男孩早教手机-新升级10W+内容45键,,,,,,,,,,,,0
,100225915833,,【加厚款64页】趣味找不同2笔,,,,,,,,,,,,0
,100225915993,,【全套264+9片】汉字磁力贴,,,,,,,,,,,,0
,100225915995,,【控笔训练全套】230页完整款,,,,,,,,,,,,0
,100225916001,,女孩早教手机-新升级10W+内容45键,,,,,,,,,,,,0
,100225916013,,跳舞龙娃【48首】升级直充款,,,,,,,,,,,,0
,100225916019,,【早教识字】8本趣味安静书,,,,,,,,,,,,0
,100225916027,,会唱歌的睡前故事书【0-6岁】,,,,,,,,,,,,0
,100225916051,,【4盒加厚装】128张儿童拼图,,,,,,,,,,,,0
,100225916077,,【儿童口琴】小兔子轻松吹,,,,,,,,,,,,0
,100226943899,,小贝同学【大模型AI机器人】白,,,,,,,,,,,,0
,100226943909,,【LUMI一代】AI早教陪伴玩偶-企鹅,,,,,,,,,,,,0
,100301480674,,【启蒙全套4本】40主题撕撕书,,,,,,,,,,,,0
,100301480676,,会说话的早教书【0-6岁 升级款】,,,,,,,,,,,,0
,100301480678,,会说话的有声书【0-8岁 双语】,,,,,,,,,,,,0
,100301480878,,【控笔训练】96页早教款,,35,20,12,,20,20,10,,,,117
,100301480936,,【清水涂鸦】4本水画本,,,,,,,,,,,,0
,100301480964,,【一级88+3片】汉字磁力贴,,,,,,,,,,,,0
,100301481120,,【3盒加厚装】1-600象形字,,20,20,12,,12,,,,,,64
,100302851026,,【LUMI二代】AI早教陪伴玩偶-小熊,,,,,,,,,,,,0
,100302851060,,【LUMI一代】AI智慧机器人-白,,,,,,,,,,,,0
,100302851124,,【小智四代】S3 ULTRA满血版-白,,,,,,,,,,,,0
,100302851144,,【小智四代】S5 ULTRA满血版-粉,,,,,,,,,,,,0
,100235766451,,巴美卡豆包ai智能对话玩具DeepSeek聊天桌面小机器人工陪伴生日礼物,8,,,3,,6,3,20,,,,40
,100314618844,,巴美卡AI大模型儿童智能闹钟同步中小学生教材语音对话时间管理起床神器,,,,,,,,,,,,0
,100314618848,,巴美卡AI大模型儿童智能闹钟同步中小学生教材语音对话时间管理起床神器,,,,,,,,,,,,0
,100314618862,,巴美卡智能闹钟学生专用ai儿童机器人语音对话多功能家自律控制生日礼物,,,,,,,,,,,,0
,100229570409,,巴美卡LUMI机器人AI电子宠物陪伴智能对话闹钟音响儿童早教玩具生日礼物,,,,,,,,,,,,0
,100232280677,,巴美卡2026年马年吉祥物玩偶生肖摆件公仔毛绒玩具娃娃元旦公司年会礼物,,,,,,,,,,,,0
,100232280679,,巴美卡2026年马年吉祥物玩偶公仔毛绒玩具娃娃生肖摆件元旦公司年会礼物,,,,,,,,,,,,0
,100309966558,,巴美卡2026年马年吉祥物玩偶公仔毛绒玩具娃娃马年摆件元旦公司年会礼物,,,,,,,,,,,,0
,100314618816,,巴美卡豆包ai智能对话玩具DeepSeek聊天桌面小机器人工陪伴生日礼物,,,,,,,,,,,,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
